round,workload,role,allocation_calls,gross_requested_bytes,peak_live_delta_bytes,end_live_delta_bytes,iterations
1,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,0,0,0,0,100
2,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,0,0,0,0,100
3,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,0,0,0,0,100
1,secondary_missing_to_ready_batch_256,secondary_representative,1032,112384,57568,0,100
2,secondary_missing_to_ready_batch_256,secondary_representative,1032,112384,57568,0,100
3,secondary_missing_to_ready_batch_256,secondary_representative,1032,112384,57568,0,100
1,guard_replacement_ready_asset,guard,3,232,232,0,100
2,guard_replacement_ready_asset,guard,3,232,232,0,100
3,guard_replacement_ready_asset,guard,3,232,232,0,100
1,guard_budget_collection_ready_assets_256,guard,21,32512,14336,-59488,100
2,guard_budget_collection_ready_assets_256,guard,21,32512,14336,-59488,100
3,guard_budget_collection_ready_assets_256,guard,21,32512,14336,-59488,100
1,diagnostic_stale_identity_rejection,diagnostic,5,568,536,0,100
2,diagnostic_stale_identity_rejection,diagnostic,5,568,536,0,100
3,diagnostic_stale_identity_rejection,diagnostic,5,568,536,0,100
1,diagnostic_commit_value_bytes_64,diagnostic,6,712,712,0,100
2,diagnostic_commit_value_bytes_64,diagnostic,6,712,712,0,100
3,diagnostic_commit_value_bytes_64,diagnostic,6,712,712,0,100

