round,workload,role,mean_ns,ci95_lower_ns,ci95_upper_ns,median_ns
1,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,48343.589,48179.273,48518.262,48255.361
2,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,48562.665,48433.282,48715.073,48415.848
3,primary_ready_assets_4096_acquire_observe_release_frame_1024,representative,48322.033,48189.892,48467.981,48202.575
1,secondary_missing_to_ready_batch_256,secondary_representative,52248.377,51958.410,52588.634,52102.061
2,secondary_missing_to_ready_batch_256,secondary_representative,53012.932,52910.006,53127.269,52970.357
3,secondary_missing_to_ready_batch_256,secondary_representative,52207.564,52091.860,52350.392,52119.529
1,guard_replacement_ready_asset,guard,140.870,140.512,141.330,140.595
2,guard_replacement_ready_asset,guard,136.961,136.254,137.746,136.174
3,guard_replacement_ready_asset,guard,135.813,135.395,136.428,135.491
1,guard_budget_collection_ready_assets_256,guard,19516.328,18303.173,20806.874,18876.860
2,guard_budget_collection_ready_assets_256,guard,20692.198,19291.381,22183.076,19791.196
3,guard_budget_collection_ready_assets_256,guard,20479.014,19263.473,21777.502,19382.339
1,guard_concurrent_single_flight_two_acquirers,guard,129974.224,128626.268,131307.728,130582.576
2,guard_concurrent_single_flight_two_acquirers,guard,127306.956,126257.316,128404.212,127327.618
3,guard_concurrent_single_flight_two_acquirers,guard,125766.147,125018.280,126480.292,125938.976
1,diagnostic_stale_identity_rejection,diagnostic,189.292,188.286,190.371,187.586
2,diagnostic_stale_identity_rejection,diagnostic,186.640,186.200,187.139,186.359
3,diagnostic_stale_identity_rejection,diagnostic,182.890,182.586,183.298,182.543

